title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,url,categoryName
St. Catherine private school,,,"H76M+JJM, Unnamed Road",Lusaka,,ZM,,,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=St.%20Catherine%20private%20school&query_place_id=ChIJgdm2cBDzQBkRQUxQwMm0cDs,Private educational institution
Pebbles international school,5,12,Pebbles school drive,Chilanga,,ZM,http://www.pebblescollege.com/,+260 97 9239000,Education center,,,,https://www.google.com/maps/search/?api=1&query=Pebbles%20international%20school&query_place_id=ChIJgYx30RDtQBkRc2ndVdTjohQ,Education center
Golden Bridge School,,,G8FF+8GP,Lusaka,,ZM,,+260 97 7794315,Primary school,,,,https://www.google.com/maps/search/?api=1&query=Golden%20Bridge%20School&query_place_id=ChIJ7XolzGuNQBkRVYFquBV0o4o,Primary school
Damishael Christian Academy,4.6,22,,Lusaka,,ZM,,+260 97 7785800,School center,,,,https://www.google.com/maps/search/?api=1&query=Damishael%20Christian%20Academy&query_place_id=ChIJNTJlzpSNQBkRQTWB_mrdTC8,School center
Palma Private School,,,H76W+76X,Lusaka,,ZM,,+260 97 8391387,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Palma%20Private%20School&query_place_id=ChIJA8VViDPzQBkRe0TiEfxnShI,Private educational institution
Little Panda International School,,,M82R+F72,Lusaka,,ZM,,+260 96 0871744,International school,,,,https://www.google.com/maps/search/?api=1&query=Little%20Panda%20International%20School&query_place_id=ChIJQdsrW6GLQBkREd1kn-Twp9M,International school
Villa Park Private school,,,"H65C+VGJ, P.O BOX",Lusaka,,ZM,,+260 97 4187765,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Villa%20Park%20Private%20school&query_place_id=ChIJTaTe1gDzQBkRyq0RZHjylv4,Private educational institution
Crested Crane academy,,,"17988M Leopards Hill Rd, New, Kasama Rd",Lusaka,,ZM,http://www.crestedcraneacademy.com/,+260 211 840 507,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Crested%20Crane%20academy&query_place_id=ChIJsRslWsWNQBkRf-xT9qm8qn4,Private educational institution
JATAMO PRIVATE SCHOOL,3.9,23,"MM8C+QWG, T4",Chongwe,,ZM,,+260 97 7839837,School center,,,,https://www.google.com/maps/search/?api=1&query=JATAMO%20PRIVATE%20SCHOOL&query_place_id=ChIJb1K6utiBQBkRH785ZSBwuUY,School center
Gemstone Academy (Wonderland),4,54,G7R8+85R,Lusaka,,ZM,,+260 97 2926568,Kindergarten,,,,https://www.google.com/maps/search/?api=1&query=Gemstone%20Academy%20(Wonderland)&query_place_id=ChIJzSXVTR3zQBkRs7FVVODfGBA,Kindergarten
Peminu Private School,,,MMMP+XJP,Chongwe,,ZM,,,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Peminu%20Private%20School&query_place_id=ChIJUyJyOc1_PxkRRVXWD-aHRx0,Private educational institution
AISL - American International School of Lusaka,,,487 A/F/3 Leopards Hill Road Lusaka ZM,Lusaka,,ZM,http://www.aislusaka.org/,+260 211 260 509,International school,,,,https://www.google.com/maps/search/?api=1&query=AISL%20-%20American%20International%20School%20of%20Lusaka&query_place_id=ChIJyWU8qeKNQBkRk6ZJRfBWls4,International school
Monica's Private School,,,,Lusaka,,ZM,,+260 76 2580198,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Monica's%20Private%20School&query_place_id=ChIJ-VmypfyNQBkRqCYvaiIpP0o,Private educational institution
Trinee Private School,,,H73X+HH3,Lusaka,,ZM,,+260 96 7304658,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Trinee%20Private%20School&query_place_id=ChIJuS9WLi3zQBkR14i9vpe6_Go,Private educational institution
Kids Haven Private school,,,J6RV+HHG,Lusaka,,ZM,,,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Kids%20Haven%20Private%20school&query_place_id=ChIJCRv8xrf1QBkRaoQqN1q038Q,Private educational institution
ISL - International School of Lusaka,,,6945 Nangwenya Rd,Lusaka,,ZM,https://www.isl.sch.zm/,+260 211 252 291,International school,,,,https://www.google.com/maps/search/?api=1&query=ISL%20-%20International%20School%20of%20Lusaka&query_place_id=ChIJEw7weFmLQBkRWfMb-qhaCBA,International school
Pinewood Preparatory School (Main School),,,J889+W4C,Lusaka,,ZM,,+260 211 294 802,Preparatory school,,,,https://www.google.com/maps/search/?api=1&query=Pinewood%20Preparatory%20School%20(Main%20School)&query_place_id=ChIJU_PXHDyLQBkRWAU2pjb1CF0,Preparatory school
Tionge Private School,,,,Lusaka,,ZM,,,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Tionge%20Private%20School&query_place_id=ChIJTZrEf3PzQBkRvU9XpKu_v5A,Private educational institution
Breath Of Heaven Academy,5,12,M62R+P32,Lusaka,,ZM,,,Educational institution,,,,https://www.google.com/maps/search/?api=1&query=Breath%20Of%20Heaven%20Academy&query_place_id=ChIJFdsgY5D1QBkRaJt6qaJEXuA,Educational institution
Woodford School Lusaka Kabulonga Campus,,,,Lusaka,,ZM,http://lusaka.woodfordschools.net/,+260 211 268 303,Primary school,,,,https://www.google.com/maps/search/?api=1&query=Woodford%20School%20Lusaka%20Kabulonga%20Campus&query_place_id=ChIJhwuKvYmMQBkR8EzE9DtZwk0,Primary school
luwi college of nursing,4.5,2,,Mwinilunga,,ZM,,+260 76 0147428,Nursing school,,,,https://www.google.com/maps/search/?api=1&query=luwi%20college%20of%20nursing&query_place_id=ChIJpeZJYr53exkR-v40nUIUeso,Nursing school
Smak Bright School,5,2,"Manyama, lumwana",Solwezi,,ZM,https://www.smakbrightsch.org/,+260 76 9582828,School center,,,,https://www.google.com/maps/search/?api=1&query=Smak%20Bright%20School&query_place_id=ChIJhdsmTS7lbxkRlqooiOO4vbQ,School center
St Francis of Assis Private School,,,JVV2+HPX,Chililabombwe,,ZM,,,Parochial school,,,,https://www.google.com/maps/search/?api=1&query=St%20Francis%20of%20Assis%20Private%20School&query_place_id=ChIJ-1CoimWhbRkRaoKh9mLBv8c,Parochial school
Key Academy Private School,,,JRGW+23P,Chililabombwe,,ZM,,,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Key%20Academy%20Private%20School&query_place_id=ChIJ-wL9OrehbRkRBTTyGamaZhc,Private educational institution
Trident Preparatory Solwezi,,,Corner of George Grey Drive Box 110506,Solwezi,,ZM,https://www.trident-prep-solwezi.com/,+260 96 1188683,Primary school,,,,https://www.google.com/maps/search/?api=1&query=Trident%20Preparatory%20Solwezi&query_place_id=ChIJ1ar_8LIqcBkRtIHoyJU72HM,Primary school
Trident College Solwezi,4.3,45,"Mukuba Road Off Kansanshi Mine Road, 10101",Solwezi,,ZM,https://www.trident-college.com/,+260 96 2555363,Private college,Boarding school,Higher secondary school,Senior high school,https://www.google.com/maps/search/?api=1&query=Trident%20College%20Solwezi&query_place_id=ChIJN5KjutsqcBkRBqX7sQPhkLk,Private college
JOCHI PRIVATE SCHOOL,,,,Solwezi,,ZM,,+260 96 9619871,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=JOCHI%20PRIVATE%20SCHOOL&query_place_id=ChIJC0KF_I_VbxkRkvFOZ5YeZ5Y,Private educational institution
David Chinyama Makina Private School,,,65MV+MM3,Kitwe,,ZM,,+260 96 8005758,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=David%20Chinyama%20Makina%20Private%20School&query_place_id=ChIJPVG41S_kbBkRNxQQ5mET3cw,Private educational institution
Lutech private school,,,R979+RP2,Solwezi,,ZM,,+260 96 5753952,Primary school,,,,https://www.google.com/maps/search/?api=1&query=Lutech%20private%20school&query_place_id=ChIJl9nUqvjVbxkRdCYgDn4G5TY,Primary school
Legacy School,,,,Solwezi,,ZM,,+260 96 4152350,General education school,,,,https://www.google.com/maps/search/?api=1&query=Legacy%20School&query_place_id=ChIJ4asS_DXVcRkRtu1TozYr9dk,General education school
Elroi Private School-Mufulira,,,Plot 2288/2283,Mufulira,,ZM,https://web.facebook.com/ELROI-Private-School-Mufulira-108288121129902/?_rdc=1&_rdr,+260 76 1665118,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Elroi%20Private%20School-Mufulira&query_place_id=ChIJfXJJtZ8fbRkRxNpnBa0Lhn4,Private educational institution
Sentinel Kabitaka School,,,RF3F+FGJ Kabitaka Housing Estate,Solwezi,,ZM,https://www.sentinel-kabitaka.com/,+260 96 8037679,Combined primary and secondary school,Boarding school,Elementary school,Middle school,https://www.google.com/maps/search/?api=1&query=Sentinel%20Kabitaka%20School&query_place_id=ChIJbe_6bWIqbhkRGUh6Jc3jQbk,Combined primary and secondary school
Bwaka Private School,,,,Kalulushi,,ZM,,+260 97 7886650,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Bwaka%20Private%20School&query_place_id=ChIJ1U5C-TDxbBkRHw_IV_WndsE,Private educational institution
LWIITO PRIVATE SCHOOL,,,Kimasala,Solwezi,,ZM,,+260 97 3013860,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=LWIITO%20PRIVATE%20SCHOOL&query_place_id=ChIJR89T8SkrcBkR5T1XHUCSm3k,Private educational institution
Sunshine private school,,,JRHQ+977,Chililabombwe,,ZM,,,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Sunshine%20private%20school&query_place_id=ChIJD9VzB0qhbRkR_v7w4iQD49Y,Private educational institution
Tarcisia Floriana Convent School,,,VC26+W3Q,Solwezi,,ZM,,,Middle school,,,,https://www.google.com/maps/search/?api=1&query=Tarcisia%20Floriana%20Convent%20School&query_place_id=ChIJU6A0PqUrcBkRWRMJFVPtDNs,Middle school
Lenasa private school,,,JRQP+GGM,Chililabombwe,,ZM,,,Elementary school,,,,https://www.google.com/maps/search/?api=1&query=Lenasa%20private%20school&query_place_id=ChIJ7bhttQ6hbRkRr6IgbOeAqMU,Elementary school
Solwezi Technical Secondary School,,,RCFG+C9P,Solwezi,,ZM,,+260 95 3502658,High school,,,,https://www.google.com/maps/search/?api=1&query=Solwezi%20Technical%20Secondary%20School&query_place_id=ChIJZ5iPfKkqbhkREnYZBrN5ssQ,High school
Prospect Private School,,,"10 Miles along Mungule RD Corner of Zakaria Mangoti Osward Sampa, Mungule Road",,,ZM,,,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Prospect%20Private%20School&query_place_id=ChIJtSAq9a9fQBkR8LhkSHy2AKM,Private educational institution
The Petersen's Private School,,,PFC7+2JW,Monze,,ZM,,+260 96 7351216,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=The%20Petersen's%20Private%20School&query_place_id=ChIJP1_3G0m3RhkR7WKyBeOZ-mo,Private educational institution
Pestalozzi Education Centre,,,"Off Twin Palm Road, Ibex Hill. First turn on your left after PicnPay at the Bauleni Junction, Twin Palms Rd",Lusaka,,ZM,https://enkoeducation.com/pestalozzi,+260 97 8950599,International school,Higher secondary school,Nursery school,Primary school,https://www.google.com/maps/search/?api=1&query=Pestalozzi%20Education%20Centre&query_place_id=ChIJh1DL-z2MQBkRds52Cl105q8,International school
Rhodes Park School | Sibweni Campus,4.2,12,Sibweni Rd,Lusaka,,ZM,http://www.rhodesparkschool.net/,+260 97 7112702,K-12 school,Elementary school,Middle school,Nursery school,https://www.google.com/maps/search/?api=1&query=Rhodes%20Park%20School%20%7C%20Sibweni%20Campus&query_place_id=ChIJiX-1qFKLQBkR5-j_bqIF_Mo,K-12 school
Anna School,,,Musi Rd,Lusaka,,ZM,,+260 97 6677762,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Anna%20School&query_place_id=ChIJGQK6BaLzQBkR4X1rVP_wUt4,Private educational institution
The Avalon School,,,JC92+85H,Lusaka,,ZM,,+260 97 7754921,General education school,,,,https://www.google.com/maps/search/?api=1&query=The%20Avalon%20School&query_place_id=ChIJs5NWSy2JQBkR_K4JzU_Ff3E,General education school
TWATOTELA SCHOOL,,,"J75G+V5F, Conakry Rd",Lusaka,,ZM,,+260 97 9983370,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=TWATOTELA%20SCHOOL&query_place_id=ChIJaeJKRMD0QBkRAkxdPL8Ht_s,Private educational institution
Dream Montessori,,,"J8G6+M66, Ngwezi Rd",Lusaka,,ZM,,+260 97 7110920,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Dream%20Montessori&query_place_id=ChIJ9y_FUi-LQBkRe7aG1rEAs3I,Private educational institution
Light of The World Academy,,,"GCWR+9QV, Former Zambia Railways Offices, Opposite Kabwe District Police HQ Off Chilubi-Island Road Kabwe ZM",Chowa,,ZM,,+260 77 2957622,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Light%20of%20The%20World%20Academy&query_place_id=ChIJvx7ILde6ahkRavyRYNFw1fM,Private educational institution
Ezekiel Christian School,,,"Plot # 16/01 Kebby Musoskotwane Road Matero East, Great N Rd",Lusaka,,ZM,,+260 97 6782193,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Ezekiel%20Christian%20School&query_place_id=ChIJVcr4OeD0QBkROzTE-Im63Ko,Private educational institution
Gren- Rey Academy Private School,,,"PF8H+GFG, Fufwa Road Off Livingstone Road Opposite Mt Meru Filling Station, Near Monze Town Primary School Ground",Monze,,ZM,,+260 97 9712785,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Gren-%20Rey%20Academy%20Private%20School&query_place_id=ChIJaclap_C3RhkR8OhrqEXXBKw,Private educational institution
ALL SAINTS SCHOOL OF LUSAKA,5,1,"House No 27, We are between shantunbu and Mosi-o-tunya traffic , Off Chandamali Rd",Lusaka,,ZM,,+260 97 7199620,School,Education center,,,https://www.google.com/maps/search/?api=1&query=ALL%20SAINTS%20SCHOOL%20OF%20LUSAKA&query_place_id=ChIJjRxhqT-NQBkRpERbuppZxy8,School
Ibex International School,,,64/100 Twin Palms Rd,Lusaka,,ZM,,+260 97 7117686,International school,,,,https://www.google.com/maps/search/?api=1&query=Ibex%20International%20School&query_place_id=ChIJO0M1WfGNQBkRM-7h1iVsGSk,International school
Italian School Of Lusaka,,,"Stand 4919, Lubu Rd",Lusaka,,ZM,http://italianschool.sch.zm/,+260 211 256 306,Bilingual school,,,,https://www.google.com/maps/search/?api=1&query=Italian%20School%20Of%20Lusaka&query_place_id=ChIJ465Id1eLQBkR5ScNiX4kirY,Bilingual school
Anchor Private School,,,4QQ6+H8W,Mazabuka,,ZM,,,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Anchor%20Private%20School&query_place_id=ChIJPeAZYN0kQRkRtOwDUuG9fb4,Private educational institution
LICS - Lusaka International Community School,,,"J899+MM6, Kakola",Lusaka,,ZM,http://www.lics.sch.zm/,+260 211 290 626,International school,,,,https://www.google.com/maps/search/?api=1&query=LICS%20-%20Lusaka%20International%20Community%20School&query_place_id=ChIJF1phRTyLQBkRPaxFgfG3fwA,International school
